state,w,b
000011000000010000000122000001020100100130011001222001000000000000010000000011000,0,1
000111000000000000002000010102010001112232201100002001000020000000010000000111000,0,2
000110001000210010000022000100000000112032200100000000000000210000210000000111000,2,0
000000000000000200002000100001003201100000200000202100000221000000010000000000000,2,0
001010100010000000100020001000230000102000201000222000100020001010010010001011000,0,1
000010000100000000000201000000000201001300011001200001001000000000001000000010000,0,1
000000000002000000002200100001100100100131000000010000000101000000010000000010020,0,2
000000000000000200000200000001000000012000000003000100010020010001000000002010000,2,0
000010000000000000002000000103101000112200101100020001000020000000010000000111000,1,0
000111000000000100000000210122020001102002001100231100000111000000000000000000000,0,1
000011000002000000000000100000100201101030011100202001000020000000010000000111000,0,1
000111000001000100010000010000000000102201000000020001010320010001000100000000000,1,0
000111000000000100010020010102202201103000001000002100002001000000000100020000000,1,0
010011000000012301000020010100020100012200000100022001000020000010010000010011000,2,0
000111000000010000010020020100020100102230001001000100000101020200010200000010000,0,1
000100000000000000000000000001010020112000011100021100000020032000000010000101000,0,2
000111000000000100200202010100020100110001001100023000002021000000010000000110000,0,1
000010000000010000000020000100020001110131011000001021000020000000010000000010000,0,2
000001000000000000201002000000200001103000011000200001012000000000000000100100100,1,0
000111000000010000000020000100002001112232211120010000000000000000000001000111000,1,0
001011000100000000000020000100022001110130001100020001000020000000010000000011010,1,0
000010000000001000001102110012200021003000000011200201000122010000000100000011000,0,2
000111000000000100010002000102020001100230211100022001000020000000010000000111000,1,0
000010000000010000010100000000210011100001010100030001000002200000000000000111000,0,1
000110000000010000000201000000100201112232211100020000000020000000010000000111000,0,2
001000000000000200000203000000000200102000200000202000000021100000010000000000000,2,0
000000101002000100002200000010001010000031000120002001000000001002002010110010200,2,0
000001000012000000123002000001100100000001011100000000000000000000000000000000000,0,2
000110000000000001000000000100201001112232211100020001000020000000010000000111000,0,2
000110010000012000000000000120010000102203211100020001000020000010010000000111000,1,0
000000000000000100011030100000002200002200200000000200001002010000000100000000000,1,0
000010000000010000000000100101000000102000001102030001010001000000000000000111010,0,1
000111000000010000000020000110220001102032211100020001000020000000010000000111000,1,0
000110000000010000000001000000101000100001001101030100200011000020000000000100000,0,2
000010000000000000001101000100200100012000101000020100013200000102010000000111000,2,0
000111000000000100010200210100220001102002001100230100000021000000010000000110000,0,1
100011000000010000000020000102020001110232211100020001000020000000010000000111000,2,0
000111000000010000010020010100022001102200000100020000000023100000010020000111000,1,0
001000000010000010100000001000000000000002000000020000113020001012200010001000100,0,1
000111000000010000010020000100022001102203211100020001000020000000010000000111000,1,0
000011000000010000020102000100020001112231011100020001000020000000010000000110000,0,1
001010100010000000100020001000230000112200211000022001100020000000010000000111000,0,1
000011000000010000010102000000030101001000211100020000000000200000010000000111000,0,1
000011000000010000002100000100202000110231011100020001000020000000010000000110000,0,1
000111000000010000010002000100020001100032211100020001000020000000200100002111000,0,1
100010200001000001010000010000000001100000001100000321001000002000010100000001000,2,0
010011000000010000000020000100020001112232211000020001020000000100010000000111000,2,0
000110000000000000000010000100232021100101001000000001000101000000010000000010000,0,1
000010000001000220000000000100231000112200000100020000000002000000000000000000000,1,0
000111000000010000000020000100220001100002211120100301000020000000000100000011000,0,2
000111000000010000000200000120010000112232211100021000000002000000010000000110000,2,0
000110000000010000000020000102020001001100011000131001000022000100000000000011000,0,2
001000000000010000001000000000100201100030211001200000010020000200000100000110000,0,2
000011000100000000010100000102000001100232211100020001000120000000010000000011000,0,1
000111000000010000000002000100020001112230211100022001000020000000000100000111000,2,0
000011010000000000020000000000030000112000001000010001000000000000010200000011000,2,0
000001000001000100010120010102202201003000001000200100200020000000000100000000000,1,0
100010000001010000010001002000000021100002201100000021001320000000010000000011000,2,0
100010000001000000002030010120002001000002201000020001000020000000000100000101000,2,0
010000000000000100002000010001030200002202000000000200002000010000000100000000000,1,0
000000100000010010100102100002002000000002001111202001001032010001000000000000211,2,0
000100200001000000000220310000000000000100001110000000010000010001000100000000000,1,0
000011000000010000000100000000202100112302211100020001000020000000010000000111000,0,2
100010110000010000001000000102000200112232201100020001000020000100000000000111000,2,0
000000000021000000000000000003010000001000000000000000000100010000000000000000000,0,2
000010000000000000001100000102210100103001000001200100000111000001000000000000000,0,1
000011000000010000000200000001001000110000011101230200000100000000010000000010000,0,2
000010000001000100010000010000020000000232010000100000000100202001000000000000000,1,0
000111001000010000002020000100020000110232211100201000000020000000010000100010001,2,0
000010000000000000000100010000011201110103211001010100000001000000000001000000000,0,2
002100000000000000100001000000030200102200000100020001000020000100010000000111000,2,0
000010010000010000001020000000000021000000200001000000000000200001002301000101021,1,0
000010000000000000101100000000000100110002001000202201023000010000000000001000000,2,0
000000010000000102000010231000010000110002000002020001000020000000010000000111000,0,1
000111000000000100010020010102202201100030001100202100000021000000000100000110000,1,0
000111000000000000010000010100200001102302201100220001010120000000001100000010000,2,0
000010000001000000010020010100020201102203001100022001000020010000010000000111000,1,0
000010100000000020001020000102001000110030201100102001022021100000010000001010000,0,1
000010000000000000000012010100000001110001001000131001002010000000000020000010000,0,2
000000010120200010200000000000002000000131100000000000001100001100000002010000210,2,0
000000101002000100002000000102001001000231000120002001000020010000100000110010210,2,0
000010000000010000000101000001002100100000211100322001000020000000010000002111000,0,1
000000100010000010000102001100020000000230001000000000100000001001000010001011100,0,1
000001000200010000010100110000000201000302201000000200002020000000000100000010000,1,0
010000000011000000010000200000102001000130201000010201010000010001000000000111000,0,1
000010010000010000001020000000000021000002200001000000000000201001000321000110100,1,0
000111000000010000000020000100020001112202211100000301000002000000010000000101000,2,0
000010000001000000000001000100310000110200200102022001000200000000010000000111000,0,2
001010000000010000000000000000102001102000001103000001000200100000000100000110000,0,1
000000100000000000001000000001010000010000001001000200000112000000003210000111000,0,2
000110001000010000000001020000122000110203001000220200000002000000010000100010000,2,0
000111000100000002000020010100020001110232001100200100000102000000000001002001100,0,2
010001000000000000123000101102002200010000011100202001010200000000010000000111000,2,0
011001001100002100000020000100020200010200001102020001001300100000000000200111000,0,2
001001000000010000010100200003000001001002211100020001000020000000010000002111000,1,0
001000100010000010100000001000020000001030001000000000100002001010000010000011100,0,1
000111000000010000010020010100022201102230001100020001000020000000010000000111000,1,0
100011000010000000010101000000003000000200201102000001000020010000010000100010000,0,1
000111000000010000000020000100020001112230101100200100000000020000010200000111000,0,1
000111200000010000000020000100020001012202011103000000000020000000010001001111020,0,1
000000100010000010001300001000010000001000000000100100000000000010000010000000000,0,1
000011000000002100000000000102020001110230211100022001000020000000000100000111000,2,0
000011000000010000000120000100020001100132211102010000000000000000010000000011000,0,1
000110000000010000000000000102010000112231011102000000000020000000010000000111000,0,2
100000000000000021010020000002000001100030200000000020000020000000012000000111000,2,0
000010000000000000000001000100010001110130211100220001000020000000010000000110000,0,1
002001000020010010000030010120000201000200001100022000000020100010010000010111000,2,0
000011002001000301000001000100000000110100000000001000000100020000000010000110100,1,0
000000000000000200000200000000100000012000000003020000010000000001000000002010000,2,0
000000100100010010000102100002002000000002001101202201011032000001000010000000011,2,0
000110000000010000000000002100021001102232011100200201000120000000010000010010010,2,0
000010101001010000110320000000002000100202001002020201100020000000000101101000001,2,0
000100100000000000000010100100000000112203011100020000000022000000010000000111000,0,1
000000000001010000001221100001231000000100100001000000000100000000000000000000000,0,2
000111000000000000000002000100030200112202011100020001000020000000010000000111000,1,0
000111000000010000000020000100020001112232201100020001000200010000010000000111000,2,0
000101000000010000020100000100022001112231011102010001020000000000000000000110000,0,2
001000000000010000001000000000100201000130211000010000010000000200000100000100000,0,2
000111000000010000000020000100020001112202201000100011000002000000000000000111300,1,0
000000000000000000000202000000001000001300001002002000000000000000202000001001000,2,0
000010000000010000010020010100020200102000000100000200000110003000000002000101000,2,0
000110000000000000202001002100002211100130001120010000000000000000010001010010000,2,0
000011000000000000000100100102030000112200001100020001000020100000010000000111000,1,0
000111001000010000020000000100020200112232011100020001000002000000010000000110000,2,0
000111000001000000010000002100002001102232201100020001000020010000000100000111000,1,0
000000100000200000000000100000010000000131100000010001000000000000000000000110000,0,1
000000000100000000000101001001012100000000210001003200120101201000000100011000000,0,1
000110010000010000000020000100020001110232211120010000002000000000010000000111000,0,2
010000011000000020020200000000030000102000200000102000002000000000000001011001000,2,0
000100000000000000000010020000130001100200201102010000000001000000010000000111000,2,0
000111000001000000010000000100200100102030011100222100000101000001000000000010000,0,1
000101000000000200000001000001202000110003001102021000000020010000010000000111000,1,0
000010000000000000000111000100000100110003011000001100000011000000000000002010000,0,2
001000000010000010100000101000000000000000000000002000100301000010000000001000100,0,1
000000010001000101000100200002002000100002301011200100000102100001000011000000001,2,0
000111000020000100001000000000220100003000201020020001100202000010000000001001000,2,0
000001000010000000000200001000000000002000100000020000203020210000002000001000100,2,0
000111000000010000000020000100020000112200001100020000000023100000010002000111000,0,1
000000100001000000020000000103000000110202211001020001002020000000010000000011000,2,0
001000100010000010100020100000203001102200200000022000100020001010010010001010100,0,1
001000100010000010100001001000000000000003001001000000000010201010000010001000100,0,1
001000100010000010100001001000002000100000201000020000103022000012200010001011000,0,1
